Column1,Column2
https://bblais.github.io/presuppositions-and-science.html,https://bblais.github.io/posts/2013/Aug/30/presuppositions-and-science
https://bblais.github.io/a-story-of-humanity.html,https://bblais.github.io/posts/2013/Dec/01/a-story-of-humanity
https://bblais.github.io/religion-and-the-illusion-of-moral-authority.html,https://bblais.github.io/posts/2013/Dec/18/religion-and-the-illusion-of-moral-authority
https://bblais.github.io/there-is-no-population.html,https://bblais.github.io/posts/2013/Feb/13/there-is-no-population
https://bblais.github.io/resurrection-linear-regression-and-the-art-of-harmonization.html,https://bblais.github.io/posts/2013/Feb/15/resurrection-linear-regression-and-the-art-of-harmonization
https://bblais.github.io/unbelievable-project-a-non-believers-armchair-perspective-on-six-years-of-christian-debates.html,https://bblais.github.io/posts/2013/Feb/27/unbelievable-project-a-non-believers-armchair-perspective-on-six-years-of-christian-debates
https://bblais.github.io/baseball-and-the-naming-of-the-gospels.html,https://bblais.github.io/posts/2013/Jul/07/baseball-and-the-naming-of-the-gospels
https://bblais.github.io/unbelievable-project-the-probability-of-the-resurrection.html,https://bblais.github.io/posts/2013/Jul/11/unbelievable-project-the-probability-of-the-resurrection
https://bblais.github.io/a-question-for-theists-why-do-you-not-believe-ufos-are-alien-spacecraft.html,https://bblais.github.io/posts/2013/Jul/13/a-question-for-theists-why-do-you-not-believe-ufos-are-alien-spacecraft
https://bblais.github.io/what-would-it-take-for-me-to-believe-the-resurrection.html,https://bblais.github.io/posts/2013/Jul/27/what-would-it-take-for-me-to-believe-the-resurrection
https://bblais.github.io/model-helicopter-guided-by-power-of-thought.html,https://bblais.github.io/posts/2013/Jun/05/model-helicopter-guided-by-power-of-thought
https://bblais.github.io/miscellaneous-christian-topics-another-counter-to-marshall.html,https://bblais.github.io/posts/2013/Jun/07/miscellaneous-christian-topics-another-counter-to-marshall
https://bblais.github.io/the-source-of-morality.html,https://bblais.github.io/posts/2013/Jun/13/the-source-of-morality
https://bblais.github.io/rules-for-criticizing-opponents.html,https://bblais.github.io/posts/2013/Jun/14/rules-for-criticizing-opponents
https://bblais.github.io/unbelievable-project-does-christianity-enslave-are-we-better-off-without-belief-in-god.html,https://bblais.github.io/posts/2013/Mar/01/unbelievable-project-does-christianity-enslave-are-we-better-off-without-belief-in-god
https://bblais.github.io/unbelievable-project-gods-existence-free-will-and-faith-the-big-questions.html,https://bblais.github.io/posts/2013/Mar/04/unbelievable-project-gods-existence-free-will-and-faith-the-big-questions
https://bblais.github.io/unbelievable-project-atheist-and-christian-bloggers-discuss.html,https://bblais.github.io/posts/2013/Mar/06/unbelievable-project-atheist-and-christian-bloggers-discuss
https://bblais.github.io/unbelievable-project-god-delusion-debate-deluded-by-dawkins.html,https://bblais.github.io/posts/2013/Mar/08/unbelievable-project-god-delusion-debate-deluded-by-dawkins
https://bblais.github.io/unbelievable-project-john-lennox-debates-science-and-god-has-science-buried-god.html,https://bblais.github.io/posts/2013/Mar/11/unbelievable-project-john-lennox-debates-science-and-god-has-science-buried-god
https://bblais.github.io/unbelievable-project-the-new-atheism-barry-duke-and-david-marshall-debate.html,https://bblais.github.io/posts/2013/Mar/13/unbelievable-project-the-new-atheism-barry-duke-and-david-marshall-debate
https://bblais.github.io/unbelievable-project-a-proxy-atheist-explains-why-he-cant-believe.html,https://bblais.github.io/posts/2013/Mar/15/unbelievable-project-a-proxy-atheist-explains-why-he-cant-believe
